"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"COP","ConocoPhillips","65.61","75532980271.68","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cop",
"CCR","CONSOL Coal Resources LP","17.34","477236300.52","n/a","2015","Energy","Coal Mining","https://www.nasdaq.com/symbol/ccr",
"CLR","Continental Resources, Inc.","46.35","17428357776.15","n/a","2007","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/clr",
"CTRA","Contura Energy, Inc.","63.05","622610049.1","n/a","n/a","Energy","Coal Mining","https://www.nasdaq.com/symbol/ctra",
"CLB","Core Laboratories N.V.","68.51","3029562280.81","n/a","1995","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/clb",
"CPG","Crescent Point Energy Corporation","3.4","1869521705","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/cpg",
"CRT","Cross Timbers Royalty Trust","12.37","74220000","n/a","1992","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/crt",
"CAPL","CrossAmerica Partners LP","16.09","554205778.17","n/a","2012","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/capl",
"CMI","Cummins Inc.","140.23","22515511519.69","n/a","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cmi",
"CVI","CVR Energy Inc.","36.62","3681430535.38","n/a","2007","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/cvi",
