DateTime,5 HK Equity,1299 HK Equity,700 HK Equity,939 HK Equity,941 HK Equity,1398 HK Equity,2318 HK Equity,3988 HK Equity,388 HK Equity,883 HK Equity,1 HK Equity,386 HK Equity,2 HK Equity,823 HK Equity,11 HK Equity,16 HK Equity,3 HK Equity,1113 HK Equity,2388 HK Equity,2628 HK Equity,27 HK Equity,857 HK Equity,688 HK Equity,1093 HK Equity,1928 HK Equity,2007 HK Equity,175 HK Equity,6 HK Equity,1109 HK Equity,762 HK Equity
20/9/2016,58.95,50.6,209,5.93,95.35,4.97,42.4,3.62,207.2,9.24,99.6,5.31,80.2,56.3,139.4,116.8,12.248,56.2,27.2,21.15,29.25,4.96,26.5,7.61,33.9,4.062,7.19,76.15,22.8,9.16
21/9/2016,59.4,50.75,211.2,5.98,96,5.03,42.65,3.67,208,9.35,99.7,5.39,79.85,55.35,139.6,118.7,12.264,56.05,27,21.35,29.65,5,27.2,7.76,34.25,4.062,7.13,76.35,23.1,9.1
22/9/2016,58.55,51.4,214.6,5.98,97.05,5.03,42.15,3.63,206.8,9.42,100.4,5.48,80.6,56.85,140,118.3,12.231,56.9,27.25,21.3,29.65,5.03,27.25,8,33.7,4.052,7.13,76.8,23.3,9.09
23/9/2016,58.05,51.8,218.2,5.93,96.35,4.88,41.5,3.57,205,9.45,100.3,5.49,80.25,56.85,139.2,118.6,12.281,57.1,26.8,20.95,29.2,5.06,27.25,7.92,33.4,4.09,7.02,76.85,23.35,9.48
26/9/2016,57.35,51.2,213,5.79,95.2,4.85,41,3.53,203,9.24,99.2,5.38,79.5,56.3,139.5,116.7,12.132,56.4,26.2,20.5,28.45,4.98,26.7,7.88,32.3,4.052,6.8,76.95,22.45,9.38
27/9/2016,58.1,51.9,215.8,5.86,95.1,4.97,41.35,3.6,205.4,9.3,99,5.48,80.25,57.2,139,118.5,12.231,56.65,26.45,20.8,28.9,5,27,7.86,33.3,4.005,7.05,76.75,22.9,9.44
28/9/2016,58.15,52.25,216.6,5.84,95.95,4.97,40.9,3.62,206.4,9.27,99.35,5.46,80.3,57.5,139.9,119.1,12.314,57.1,26.2,20.8,29.3,4.98,27.1,7.83,33.55,3.995,7.11,77.2,22.85,9.54
29/9/2016,58.15,52.55,217.6,5.89,96.2,4.99,41,3.61,206.8,9.74,99.7,5.68,80.15,57.05,140,118.5,12.347,57.35,26.4,20.7,29.85,5.13,26.8,7.83,34.2,3.976,7.09,77.35,22.5,9.55
30/9/2016,57.15,51.55,213,5.75,93.85,4.85,40.2,3.54,203.8,9.62,98.6,5.65,80.15,57,138.5,117.1,12.099,56.6,26.2,20,29.2,5.09,26.3,7.76,33.65,3.891,6.92,75.6,21.6,9.31
3/10/2016,58.05,52.5,216.8,5.82,95.65,4.91,40.7,3.55,205.8,9.75,99.45,5.69,80.3,57.9,139.5,116.9,12.132,57.1,26.25,20.25,30.05,5.12,25.8,8.2,34.25,3.9,7.08,76.1,21.4,9.47
4/10/2016,58.75,52.7,217.4,5.84,96.2,4.95,40.95,3.6,207.2,9.77,99.45,5.73,79.55,58,139.9,116.4,12.116,56.85,26.25,20.5,30.3,5.19,25.4,8.4,34.65,4.024,7.13,75.7,20.95,9.45
5/10/2016,59,53.35,217.4,5.86,97.05,4.96,41.25,3.6,207.4,10.14,99.25,5.85,79.1,56.75,139.6,116.2,12.149,56.75,26.3,20.65,30.6,5.35,25.6,8.36,34.9,3.91,7.17,74.75,20.85,9.47
6/10/2016,59.35,53.85,217.4,5.92,97.45,5,41.9,3.64,208.2,10.54,98.7,5.95,78.7,56.45,141.3,116.9,12.116,56.5,26.65,21.45,31.75,5.57,25.35,8.31,35.5,3.824,7.17,74.6,20.5,9.45
7/10/2016,58.95,53.95,216.2,5.92,96.45,5,41.8,3.63,208.8,10.34,98,5.93,78.5,56.3,141.4,117.2,12.116,56.8,26.55,21.5,31.2,5.52,25.05,8.3,34.8,3.805,7.17,73.2,20.2,9.41
10/10/2016,58.95,53.95,216.2,5.92,96.45,5,41.8,3.63,208.8,10.34,98,5.93,78.5,56.3,141.4,117.2,12.116,56.8,26.55,21.5,31.2,5.52,25.05,8.3,34.8,3.805,7.17,73.2,20.2,9.41
11/10/2016,58.95,53.1,215.8,5.78,95.25,4.91,41.15,3.57,206.8,10.38,95.4,5.85,77.35,55,139.6,114.5,12.132,55.1,25.95,21,32,5.55,24,8.25,35.2,3.681,7.55,71.45,19.42,9.94
12/10/2016,58.7,53.1,213.4,5.7,95.3,4.82,41,3.47,206,10.44,96.1,5.82,77.8,54.45,140.7,113.2,12.182,54.75,26.2,20.75,31.15,5.47,24.35,8.25,34.75,3.748,7.7,71.5,19.56,9.75
13/10/2016,57.75,51.5,210,5.57,93.95,4.69,40.3,3.41,203.2,10.18,95.4,5.66,76.5,55.3,139.4,113.6,12.083,54.65,25.9,20.4,30.25,5.32,23.75,8.25,34.05,3.777,7.79,71.4,19.4,9.61
14/10/2016,58.5,52.1,209,5.66,93.85,4.72,40.7,3.44,205.4,10.44,96.9,5.72,77.45,56,141,114,12.215,55.05,26.15,20.7,30.6,5.36,23.7,8.18,35,3.891,7.74,72,19.38,9.88
17/10/2016,58.05,51.6,208.8,5.64,92.15,4.68,40.2,3.42,203.4,10.24,96.45,5.7,77.35,55.7,141.5,113.4,12.182,54.3,25.9,20.4,29.3,5.31,23.65,8.17,33.85,3.853,8.18,71.9,19.4,9.6
18/10/2016,59,52.6,212.4,5.74,93.3,4.77,40.55,3.5,205.4,10.48,97.45,5.83,77.5,56.55,141.4,115.1,12.264,55.05,26.3,20.7,30.1,5.39,24.8,8.27,34.15,3.919,8.09,72.05,20.05,9.59
19/10/2016,59.05,52.3,212.8,5.68,92.85,4.71,40.4,3.47,205.4,10.46,97.65,5.75,77.7,56.05,140.8,114.8,12.281,54.85,26.35,20.15,30,5.38,24.5,8.4,34.3,3.938,8.3,71.7,20,9.46
20/10/2016,58.8,52.75,214.2,5.72,92,4.72,40.3,3.48,206.6,10.68,98.2,5.8,78.2,55.7,141,114.2,12.331,55,26.95,20.1,30.05,5.54,24.35,8.35,34.45,3.853,8.44,72,19.86,9.43
21/10/2016,58.8,52.75,214.2,5.72,92,4.72,40.3,3.48,206.6,10.68,98.2,5.8,78.2,55.7,141,114.2,12.331,55,26.95,20.1,30.05,5.54,24.35,8.35,34.45,3.853,8.44,72,19.86,9.43
24/10/2016,59.4,52.7,215.4,5.83,90.9,4.81,40.7,3.58,208,10.7,98.95,5.93,79.7,56.55,143,115,12.38,55.45,28.15,20.25,30.6,5.69,24.2,8.38,34.5,3.948,8.97,73.35,19.92,9.41
25/10/2016,59.25,53,214.8,5.82,90.5,4.79,41.05,3.57,208.6,10.7,98.5,5.89,78.7,56.5,142.7,115.9,12.43,55.45,27.9,20.15,31.45,5.64,24.2,8.37,35.05,3.976,9.09,73.15,20.1,9.32
26/10/2016,58.8,52.3,212.2,5.72,90,4.72,40.65,3.52,206.4,10.48,97.3,5.76,78.6,56.2,141.1,115.5,12.397,55.25,27.45,20,32.05,5.52,24,8.2,35.5,3.938,8.8,72.95,19.8,9.2
27/10/2016,58.7,51.4,210.6,5.67,89.1,4.69,40.5,3.48,205.6,10.2,96.25,5.68,78.25,56.05,139.9,115.9,12.38,55.6,27.7,19.8,31.8,5.41,24,8.16,34.45,3.919,8.32,72.85,19.72,9.19
28/10/2016,58.35,51.4,208,5.6,88.2,4.63,40.6,3.44,204,10.04,95.1,5.66,77.9,55,139,115,12.397,55.7,27.5,19.28,31.9,5.38,24.1,8.05,34,3.9,8.22,72.8,19.46,9.11
31/10/2016,58.35,48.95,205.8,5.68,88.85,4.67,40.95,3.48,205.4,9.87,95.95,5.65,78.9,55.3,140.1,115.8,12.562,57.45,27.7,19.26,31.85,5.34,23.95,8.04,33.75,3.843,8,72.95,19.34,9.09
1/11/2016,58.45,48.5,207.2,5.78,89.05,4.75,41.6,3.52,206,9.99,96.9,5.8,80.15,55.55,141.5,118.4,12.81,58.45,27.6,19.6,32.55,5.4,24.1,8.05,34.7,3.938,8.22,74.3,19.38,9.14
2/11/2016,57.7,47.95,204.4,5.64,87.75,4.65,40.85,3.45,203,9.87,95.85,5.69,78.9,54.75,140.3,117.3,12.678,58.4,27.1,19.24,32.1,5.28,23.75,8.07,34.25,3.919,8.18,73.8,19.14,8.95
3/11/2016,57.6,47.65,202,5.6,87.4,4.64,40.65,3.44,200.2,9.82,95.45,5.62,78.35,55.2,140.5,115.8,12.529,57.95,27.4,19.24,32.1,5.26,23.65,7.95,33.95,3.919,8.05,73.05,19.2,9.06
4/11/2016,57.45,47.8,200,5.6,87.3,4.65,40.65,3.44,199.7,9.75,95.5,5.6,78.2,54.55,141.2,115.4,12.479,57.9,27.25,19.22,31.75,5.3,23.6,7.87,34.05,3.957,7.62,73.65,19.2,9.05
